line_id,replicate,ips_received,ips_started,passage_received,received_as,media,EB_formation,passage_diff,diff_start,MF_harvest,salmonella,ATAC,flow_date,medium_changes,terminated,extraction_date,rna_submit,library_pool,status,comment
peop_2,1,19/02/2014,19/02/2014,23,alive,KSR,27/02/2014,25,03/03/2014,26/05/2014,03/06/2014,,20/05/2014,20,13/06/2014,06/06/2014,18/11/2014,3226_RNA-1_191114,Success,
ffdp_3,1,12/03/2014,12/03/2014,42,alive,KSR,22/03/2014,44,25/03/2014,26/05/2014,03/06/2014,,20/05/2014,14,13/06/2014,06/06/2014,13/07/2014,3226_dUTP_160714_1,Success,
ougl_3,1,12/03/2014,12/03/2014,26,alive,KSR,18/03/2014,27,21/03/2014,26/05/2014,03/06/2014,,20/05/2014,15,13/06/2014,09/06/2014,13/07/2014,3226_dUTP_160714_1,Success,
iasn_3,1,19/03/2014,19/03/2014,30,alive,KSR,24/03/2014,31,27/03/2014,26/05/2014,03/06/2014,,20/05/2014,14,13/06/2014,09/06/2014,18/11/2014,3226_RNA-1_191114,Success,
ffdk_1,1,19/03/2014,19/03/2014,18,alive,KSR,24/03/2014,19,27/03/2014,,,,20/05/2014,12,13/06/2014,,,,FC_QC_fail,
liun_2,1,22/04/2014,22/04/2014,25,alive,KSR,26/04/2014,26,30/04/2014,08/06/2014,14/06/2014,,20/06/2014,12,08/07/2014,24/06/2014,13/07/2014,3226_dUTP_160714_1,Success,
aipt_2,1,22/04/2014,22/04/2014,27,alive,KSR,26/04/2014,28,30/04/2014,08/06/2014,14/06/2014,,16/06/2014,11,08/07/2014,24/06/2014,18/11/2014,3226_RNA-1_191114,Success,
oomz_2,1,06/05/2014,06/05/2014,27,alive,KSR,10/05/2014,28,14/05/2014,08/06/2014,14/06/2014,,16/06/2014,6,26/06/2014,09/07/2014,13/07/2014,3226_dUTP_160714_1,Success,
qanu_2,1,06/05/2014,06/05/2014,28,alive,KSR,10/05/2014,29,14/05/2014,08/06/2014,14/06/2014,,20/06/2014,6,26/06/2014,09/07/2014,18/11/2014,3226_RNA-1_191114,Success,
hikj_1,1,12/05/2014,12/05/2014,28,alive,KSR,17/05/2014,29,21/05/2014,09/07/2014,15/07/2014,,01/07/2014,8,16/07/2014,15/07/2014,18/11/2014,3226_RNA-1_191114,Success,
qimz_1,1,12/05/2014,12/05/2014,26,alive,KSR,17/05/2014,27,21/05/2014,09/07/2014,15/07/2014,,01/07/2014,8,16/07/2014,15/07/2014,18/11/2014,3226_RNA-2_191114,Success,
zisa_3,1,12/05/2014,12/05/2014,29,alive,KSR,18/05/2014,30,22/05/2014,09/07/2014,15/07/2014,,01/07/2014,8,15/07/2014,15/07/2014,18/11/2014,3226_RNA-1_191114,Success,
uoxz_5,1,12/05/2014,21/05/2014,34,frozen,KSR,09/06/2014,37,13/06/2014,,,,,13,19/08/2014,,,,Diff_fail,Too few MFs.
oarz_2,1,23/06/2014,23/06/2014,35,alive,KSR,30/06/2014,36,04/07/2014,14/08/2014,22/08/2014,,NA,9,27/08/2014,08/09/2014,,,RNA_QC_fail,Sample A degraded. Did not sequence.
yuze_1,1,03/07/2014,03/07/2014,53,alive,KSR,08/07/2014,54,11/07/2014,14/08/2014,22/08/2014,,28/08/2014,10,09/09/2014,08/09/2014,18/11/2014,3226_RNA-2_191114,Success,
funp_3,1,08/07/2014,08/07/2014,27,alive,KSR,15/07/2014,28,19/07/2014,14/08/2014,22/08/2014,,28/08/2014,8,09/09/2014,08/09/2014,18/11/2014,3226_RNA-2_191114,Success,
coxy_3,1,08/07/2014,08/07/2014,18,alive,KSR,15/07/2014,19,19/07/2014,23/08/2014,29/08/2014,,28/08/2014,8,09/09/2014,08/09/2014,18/11/2014,3226_RNA-2_191114,Success,
fpdl_1,1,17/07/2014,18/07/2014,27,frozen,KSR,01/09/2014,35,05/09/2014,15/10/2014,22/10/2014,,29/10/2014,6,21/10/2014,15/11/2014,18/11/2014,3226_RNA-3_191114,Success,
airc_2,1,17/07/2014,18/07/2014,25,frozen,KSR,12/08/2014,30,16/08/2014,,,,,NA,06/10/2014,,,,Diff_fail,Infrequent MC
fpdj_3,1,,22/07/2014,39,frozen,KSR,11/08/2014,43,15/08/2014,12/09/2014,18/09/2014,,19/09/2014,6,23/09/2014,22/09/2014,18/11/2014,3226_RNA-2_191114,Success,
xekf_1,1,28/07/2014,28/07/2014,35,alive,KSR,01/08/2014,36,05/08/2014,,,,,NA,06/10/2014,,,,Diff_fail,Infrequent MC
oeoo_2,1,17/07/2014,29/07/2014,34,frozen,KSR,13/08/2014,36,16/08/2014,06/10/2014,13/10/2014,,19/09/2014,5,28/10/2014,04/12/2014,09/12/2014,3226_RNAseq-1_111214,Success,
leeh_3,1,17/07/2014,29/07/2014,29,frozen,KSR,09/08/2014,32,13/08/2014,,,,,NA,06/10/2014,,,,Diff_fail,Infrequent MC
koun_2,1,17/07/2014,29/07/2014,25,frozen,KSR,26/08/2014,30,29/08/2014,,,,,NA,11/10/2014,,,,Diff_fail,Infrequent MC
gedo_3,1,17/07/2014,29/07/2014,28,frozen,KSR,10/08/2014,31,14/08/2014,,,,19/09/2014,NA,06/10/2014,,,,FC_QC_fail,Contaminating cell type
huls_1,1,06/08/2014,06/08/2014,36,alive,KSR,09/08/2014,37,13/08/2014,12/09/2014,18/09/2014,,19/09/2014,6,23/09/2014,22/09/2014,18/11/2014,3226_RNA-3_191114,Success,
vopm_2,1,06/08/2014,06/08/2014,38,alive,KSR,11/08/2014,39,15/08/2014,,,,,6,21/10/2014,,,,Diff_fail,Too few MFs.
ffdm_3,1,17/07/2014,18/08/2014,36,frozen,KSR,09/09/2014,39,12/09/2014,06/10/2014,13/10/2014,,29/10/2014,,21/10/2014,04/12/2014,09/12/2014,3226_RNAseq-1_111214,Success,
golb_1,1,17/07/2014,18/08/2014,24,frozen,KSR,09/09/2014,29,12/09/2014,15/10/2014,22/10/2014,,11/11/2014,7,14/11/2014,15/11/2014,18/11/2014,3226_RNA-3_191114,Success,
gomv_3,1,17/07/2014,18/08/2014,43,frozen,KSR,12/09/2014,47,16/09/2014,15/10/2014,22/10/2014,,29/10/2014,7,14/11/2014,15/11/2014,18/11/2014,3226_RNA-3_191114,Success,
giuo_4,1,19/08/2014,03/09/2014,30,frozen,KSR,06/10/2014,34,10/10/2014,30/10/2014,05/11/2014,,11/11/2014,5,13/11/2014,06/11/2014,18/11/2014,3226_RNA-3_191114,Success,
iakz_1,1,19/08/2014,03/09/2014,27,frozen,KSR,23/09/2014,30,27/09/2014,,,,,6,31/10/2014,,,,Diff_fail,EBs dissapeared.
uahf_3,1,19/08/2014,03/09/2014,31,frozen,KSR,29/09/2014,35,03/10/2014,,,,21/11/2014,11,28/11/2014,,,,FC_QC_fail,
oarz_2,2,23/06/2014,15/09/2014,36,frozen,KSR,03/10/2014,39,06/10/2014,30/10/2014,05/11/2014,,11/11/2014,5,13/11/2014,06/11/2014,09/12/2014,3226_RNAseq-2_111214,Success,
kaks_3,1,17/09/2014,17/09/2014,37,alive,KSR,22/09/2014,38,26/09/2014,15/10/2014,22/10/2014,,11/11/2014,8,14/11/2014,15/11/2014,18/11/2014,3226_RNA-3_191114,Success,
darw_2,1,17/09/2014,17/09/2014,37,alive,KSR,24/09/2014,38,28/09/2014,30/10/2014,05/11/2014,,29/10/2014,13,25/11/2014,06/11/2014,09/12/2014,3226_RNAseq-1_111214,Success,
cuau_2,1,17/09/2014,17/09/2014,37,alive,KSR,23/09/2014,38,27/09/2014,14/11/2014,20/11/2014,,29/10/2014,11,25/11/2014,25/11/2014,09/12/2014,3226_RNAseq-1_111214,Success,
uoxz_5,1,17/09/2014,17/09/2014,55,alive,KSR,22/09/2014,56,26/09/2014,,,,,8,14/11/2014,,,,Diff_fail,Very few and very large cells
cehw_3,1,01/10/2014,01/10/2014,33,alive,KSR,07/10/2014,34,11/10/2014,14/11/2014,20/11/2014,,18/11/2014,9,27/11/2014,25/11/2014,09/12/2014,3226_RNAseq-1_111214,Success,
coio_2,1,01/10/2014,01/10/2014,38,alive,KSR,07/10/2014,39,11/10/2014,14/11/2014,20/11/2014,,18/11/2014,9,27/11/2014,25/11/2014,09/12/2014,3226_RNAseq-2_111214,Success,
zuta_1,1,01/10/2014,01/10/2014,40,alive,KSR,06/10/2014,41,10/10/2014,14/11/2014,20/11/2014,,11/11/2014,7,25/11/2014,25/11/2014,09/12/2014,3226_RNAseq-1_111214,Success,
focm_1,1,01/10/2014,01/10/2014,45,alive,KSR,07/10/2014,46,11/10/2014,,,,,9,27/11/2014,,,,Diff_fail,
fpdj_3,2,,03/10/2014,39,frozen,KSR,25/10/2014,42,29/10/2014,19/11/2014,26/11/2014,,04/12/2014,NA,19/12/2014,07/12/2014,09/12/2014,3226_RNAseq-2_111214,Success,
debk_7,1,06/10/2014,06/10/2014,34,alive,KSR,13/10/2014,35,16/10/2014,19/11/2014,26/11/2014,,27/11/2014,9,10/12/2014,07/12/2014,09/12/2014,3226_RNAseq-2_111214,Success,
voas_2,1,06/10/2014,06/10/2014,37,alive,KSR,13/10/2014,38,16/10/2014,19/11/2014,26/11/2014,,21/11/2014,10,10/12/2014,07/12/2014,09/12/2014,3226_RNAseq-2_111214,Success,
riiv_1,1,06/10/2014,06/10/2014,32,alive,KSR,12/10/2014,33,16/10/2014,,,,21/11/2014,10,19/12/2014,07/12/2014,,,Stimulation_fail,Not enough cells/RNA.
piun_3,1,06/10/2014,06/10/2014,38,alive,KSR,12/10/2014,39,16/10/2014,,,,04/12/2014,NA,19/12/2014,,,,Stimulation_fail,
vorx_1,1,10/10/2014,10/10/2014,31,alive,KSR,16/10/2014,32,20/10/2014,14/11/2014,20/11/2014,,21/11/2014,6,27/11/2014,25/11/2014,09/12/2014,3226_RNAseq-2_111214,Success,
meqo_3,1,10/10/2014,10/10/2014,39,alive,KSR,16/10/2014,40,20/10/2014,14/11/2014,20/11/2014,,27/11/2014,8,10/12/2014,04/12/2014,29/04/2014,,Success,Not enough cells/RNA. Might still sequence.
auim_2,1,10/10/2014,10/10/2014,36,alive,KSR,13/10/2014,37,16/10/2014,14/11/2014,20/11/2014,,21/11/2014,9,10/12/2014,04/12/2014,29/04/2014,,Success,
babk_2,1,10/10/2014,10/10/2014,36,alive,E8,25/10/2014,38,29/10/2014,,,,16/12/2014,9,19/12/2014,,,,Stimulation_fail,Cells looked weird.
euir_2,1,24/10/2014,24/10/2014,51,alive,KSR,31/10/2014,52,04/11/2014,28/11/2014,05/12/2014,,04/12/2014,6,19/12/2014,08/12/2014,29/04/2015,,Success,
bima_1,1,24/10/2014,24/10/2014,40,alive,E8,04/11/2014,42,07/11/2014,05/12/2014,12/12/2014,12/12/2014,16/12/2014,6,19/12/2014,05/02/2015,29/04/2015,,Success,
eofe_1,1,24/10/2014,24/10/2014,35,alive,KSR,29/10/2014,36,01/11/2014,05/12/2014,12/12/2014,12/12/2014,04/12/2014,8,19/12/2014,05/02/2015,29/04/2015,,Success,
